id,name,student,age,degree,city,do_you_own_a_pet,maths,science,art,coffee
1,Sam,yes,20,law,glasgow,dog,7,50,6,0
2,Oliver,yes,19,computer_science,birmingham,dog,21,6,15,3
3,Francisco,yes,22,economics,london,cat,48,29,10,1
4,Mo,yes,19,computer_science,birmingham,cat,50,21,21,1
5,Natalie,yes,22,business,leeds,dog,18,29,41,3
6,Roberto,yes,20,medicine,canterbury,,17,28,35,0
7,Victor,yes,22,business,london,hamster,32,31,9,0
8,Mohammed,yes,23,psychology,london,,16,7,49,4
9,Jose,yes,21,law,london,cat,5,41,21,2
10,David,no,22,,york,dog,48,50,17,0
11,Katy,yes,21,nursing,liverpool,dog,33,40,19,4
12,Amelia,yes,19,sociology,glasgow,rabbit,35,40,35,3
13,Eleanor,yes,19,art,newcastle,snake,13,23,48,4
14,Mark,yes,21,law,manchester,dog,44,32,17,3
15,Taylor,yes,21,psychology,nottingham,dog,40,25,36,0
16,Sarah,yes,19,nursing,leicester,dog,39,18,44,0
17,Lin,yes,22,law,stoke,dog,20,12,33,1
18,Bethany,yes,18,art,brighton,dog,29,22,32,0
19,Victoria,yes,23,medicine,manchester,hamster,19,22,6,3
20,Will,yes,19,law,manchester,,25,6,13,5
21,Sandra,yes,20,medicine,sheffield,dog,25,44,20,5
22,Gemma,yes,20,economics,bristol,cat,16,24,25,3
23,George,yes,20,sociology,manchester,cat,43,28,29,1
24,Laura,yes,22,law,brighton,dog,39,41,14,3
25,Robert,no,23,,swansea,,27,26,21,0
26,Elena,yes,20,law,london,dog,16,15,46,3
27,Sofia,yes,21,computer_science,birmingham,cat,42,18,42,4
28,Elizabeth,yes,20,psychology,leeds,rabbit,20,38,50,5
29,Rosa,yes,19,nursing,doncaster,,44,28,29,4
30,Daniel,yes,18,law,chester,dog,41,48,27,5
31,Yan,yes,22,sociology,plymouth,,44,42,39,4
32,Chris,yes,23,economics,edinburgh,cat,45,22,47,3
33,Maria,yes,23,business,nottingham,,48,6,39,3
34,Thom,yes,18,computer_science,liverpool,cat,38,6,33,2
35,Natalya,yes,22,computer_science,cardiff,hamster,14,9,45,2
36,Charlotte,yes,23,psychology,birmingham,cat,28,7,22,1
37,Luis,yes,20,sociology,london,,44,24,30,5
38,Antonio,yes,23,law,belfast,dog,48,6,35,3
39,Anna,yes,22,psychology,london,,28,43,29,1
40,Joseph,yes,22,business,birmingham,gecko,29,24,25,2
41,Olga,yes,19,medicine,coventry,,8,7,6,4
42,Noah,yes,20,psychology,london,hamster,32,45,19,0
